Year,forecast,lower_ci,upper_ci
2025,504411.18,397576.3769102652,611245.9830897348
2026,504411.18,353323.952537038,655498.407462962
2027,504411.18,319367.87303196284,689454.4869680372
2028,504411.18,290741.57382053044,718080.7861794695
2029,504411.18,265521.2979285484,743301.0620714516
2030,504411.18,242720.42565943403,766101.9343405659
2031,504411.18,221752.8596580068,787069.5003419932
2032,504411.18,202236.72507407604,806585.634925924
2033,504411.18,183906.77073079563,824915.5892692043
2034,504411.18,166569.86886084394,842252.491139156
2035,504411.18,150080.22359984793,858742.136400152
2036,504411.18,134324.56606392574,874497.7939360742
2037,504411.18,119212.81945586263,889609.5405441374
2038,504411.18,104671.94985475438,904150.4101452456
2039,504411.18,90641.76683810854,918180.5931618914
2040,504411.18,77071.96764106088,931750.3923589392
2041,504411.18,63920.00236895954,944902.3576310405
2042,504411.18,51149.497611114115,957672.8623888858
2043,504411.18,38729.069678779226,970093.2903212208
2044,504411.18,26631.41585709696,982190.944142903
