year,forecast_production_tonnes,population,kg_per_capita,est_consumption_tonnes,surplus_deficit_tonnes
2025,504411.18,116786962.0,4.524,528344.216088,-23933.036087999993
2026,504411.18,117724471.0,4.524,532585.506804,-28174.32680400001
2027,504411.18,118656413.0,4.524,536801.612412,-32390.432411999966
2028,504411.18,119583981.0,4.524,540997.930044,-36586.750044000044
2029,504411.18,120502129.0,4.524,545151.6315959999,-40740.45159599994
2030,504411.18,121408895.0,4.524,549253.84098,-44842.660979999986
2031,504411.18,122301597.0,4.524,553292.4248279999,-48881.24482799991
2032,504411.18,123180331.0,4.524,557267.817444,-52856.63744400005
2033,504411.18,124049029.0,4.524,561197.807196,-56786.627196000016
2034,504411.18,124904114.0,4.524,565066.211736,-60655.03173600003
2035,504411.18,125740971.0,4.524,568852.1528040001,-64440.97280400008
2036,504411.18,126558226.0,4.524,572549.4144240001,-68138.23442400008
2037,504411.18,127352596.0,4.524,576143.1443040001,-71731.96430400008
2038,504411.18,128118527.0,4.524,579608.216148,-75197.03614799998
2039,504411.18,128850041.0,4.524,582917.5854839999,-78506.40548399993
2040,504411.18,129546659.0,4.524,586069.085316,-81657.90531600005
2041,504411.18,130209801.0,4.524,589069.139724,-84657.95972400001
2042,504411.18,130836996.0,4.524,591906.569904,-87495.38990400004
2043,504411.18,131427393.0,4.524,594577.525932,-90166.34593200003
2044,504411.18,131979663.0,4.524,597075.9954120001,-92664.81541200011
