ds,yhat,yhat_lower,yhat_upper
1961-01-01,812264.93221332,687333.8154214548,927423.8924397628
1962-01-01,808520.7904067928,685456.6845540714,933660.9800943774
1963-01-01,804776.6486002655,681049.9401695846,935104.2415441602
1964-01-01,801032.5067908971,679717.3972371677,911460.6932117615
1965-01-01,797278.1070587635,662558.7907143455,927687.834632694
1966-01-01,793533.9652550814,670993.7464954858,909194.3677749787
1967-01-01,789789.8234513992,665339.0530983502,918421.8518325493
1968-01-01,786045.6816487575,656332.4261447834,903606.8716396922
1969-01-01,782291.2819233689,656804.9981353988,908944.3334106767
1970-01-01,778547.1401268741,652029.6685571268,898876.9388597652
1971-01-01,774802.9983303794,643321.8719884276,898719.3421803974
1972-01-01,771058.8564434962,654558.2396505233,897881.3819458121
1973-01-01,767304.4566336352,642983.6221784895,891361.3322803043
1974-01-01,763559.1917443852,638346.4836481821,886218.2875851579
1975-01-01,759813.926855135,638156.6701821602,884206.6962201664
1976-01-01,756065.7245271893,631930.0567781368,885856.1325190373
1977-01-01,752307.2531517699,632722.9103910233,872090.7861732981
1978-01-01,748550.7583444753,625860.0823620656,869323.236541733
1979-01-01,744794.2635371808,619647.837128663,869254.5334353193
1980-01-01,739150.2576181777,612159.5078932022,878226.0245757609
1981-01-01,733490.7886692594,601574.9237058304,862573.7371507933
1982-01-01,727835.6872773571,594779.7577775059,861357.2504945478
1983-01-01,722180.5858854548,596271.0201189276,841486.7545948144
1984-01-01,716523.2358172894,591660.3898636427,844688.883476631
1985-01-01,710850.3861598964,590482.8298094114,840779.3289277283
1986-01-01,705185.2729070382,584025.8396386739,838641.2229778394
1987-01-01,699520.1596541799,575436.9493754102,829916.4120140332
1988-01-01,693855.0463218602,574705.5972609774,816558.218963015
1989-01-01,688174.4121310957,564698.515727978,817135.1750556919
1990-01-01,682509.2960247839,558478.402013382,801227.7192694666
1991-01-01,676844.179918472,548926.2801285234,797930.5405845318
1992-01-01,671177.2438792348,542347.465949938,804365.3926242993
1993-01-01,665494.7819878354,540250.0296841714,795698.8893248534
1994-01-01,659827.8459548148,531018.8943348245,779963.3067660977
1995-01-01,654160.9099217942,521743.2241688648,782763.8752316927
1996-01-01,648493.9738766329,519762.67217561504,775288.0927905608
1997-01-01,642811.5119792928,520485.5428704562,766165.9055517158
1998-01-01,637144.5759454421,508473.3013103408,765111.6384320862
1999-01-01,631477.6399115913,508912.64521383896,768213.4710196585
2000-01-01,625810.7038897147,498859.6944686781,756454.2857665065
2001-01-01,620128.2420157233,497463.67205729685,744292.3278173276
2002-01-01,614461.3059894418,492739.96580500476,738926.4171715609
2003-01-01,608794.3699631601,479591.4889600534,733317.829053816
2004-01-01,603127.4339382956,469848.5460886346,725709.3652032559
2005-01-01,597444.9720613079,468142.0431439129,724000.7809008226
2006-01-01,591778.0360295647,467788.51704277284,712799.6230257084
2007-01-01,586111.0999978216,457787.65663605364,703135.5315934988
2008-01-01,580444.1639817083,452063.0372520333,711516.8426554911
2009-01-01,574761.7021134963,445164.7096953054,697725.1646929608
2010-01-01,569094.7661090354,438576.48191818007,686792.8934809575
2011-01-01,563427.8301045748,440080.85577711725,691862.982718607
2012-01-01,557760.8941030846,433229.9012425147,681476.670252932
2013-01-01,552078.4322495356,428163.62005097495,673525.8239886148
2014-01-01,546411.4962480455,415164.06790634355,673291.0088018074
2015-01-01,540744.5602465554,414134.60933611693,669129.2197469828
2016-01-01,535077.6242450653,408343.152323678,662972.7525147176
2017-01-01,529395.1623915163,401573.9271499249,652871.9168684919
2018-01-01,523728.22639002616,401050.77519121126,642917.3234974764
2019-01-01,518061.290388536,402163.39998041117,648116.8561031315
2020-01-01,512394.3543870459,386324.3487557832,639582.7309670447
2021-01-01,506711.89253349695,381966.7074717733,628197.5175117954
2022-01-01,501044.95653200685,380532.03906820825,628100.2852419653
2023-01-01,495378.0205305167,367972.7863149054,621794.3421191212
2024-01-01,489711.0845290266,378035.1321314221,616037.9316709827
2025-01-01,484028.6226754776,356565.62152695184,611828.0444221038
2026-01-01,478361.6866739875,354392.3628868134,613238.5427083975
2027-01-01,472694.7506724974,358380.4695037619,594900.1758427107
2028-01-01,467027.8146710073,344298.16595532827,589250.5736114284
2029-01-01,461345.3528174583,321216.2357005421,606897.5506823832
2030-01-01,455678.4168159681,338523.8467381085,571523.3773522413
2031-01-01,450011.48081447807,319054.8811362632,569412.5479698359
2032-01-01,444344.5448129879,320941.3154324886,570546.5804481115
2033-01-01,438662.08295943897,309112.6045108194,572931.3700350152
2034-01-01,432995.14695794886,305543.5066480714,561615.0845269801
2035-01-01,427328.2109564587,302784.29674772907,553093.9505026273
2036-01-01,421661.2749549686,296257.7931341812,553773.2808234537
2037-01-01,415978.81310141954,280025.0737006436,538202.5542692993
2038-01-01,410311.87709992955,282181.11379823816,527222.4419014556
2039-01-01,404644.9410984394,273011.48645297723,526243.7235258056
2040-01-01,398978.00509694923,275783.72628286533,525294.0309002985
2041-01-01,393295.5432434002,266451.4106573643,519290.0559107074
2042-01-01,387628.6072419102,264340.20235724555,512458.7155053271
2043-01-01,381961.6712404201,266056.0664492412,510328.28149157116
2044-01-01,376294.7352389299,250577.0880299001,499753.3620142521
