,Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
grand_means,Grand Means Forecaster,2.7612,2.7624,2983515.8728,3420294.5642,0.2685,0.3226,-2.7849,0.015
arima,ARIMA,2.9047,2.8595,3150139.7009,3553836.5817,0.2839,0.344,-3.1282,0.02
croston,Croston,2.9698,2.999,3151365.5866,3620328.327,0.2907,0.3554,-3.0422,0.005
naive,Naive Forecaster,3.406,3.1895,3755851.852,4077540.7029,0.3377,0.4261,-4.988,0.55
auto_arima,Auto ARIMA,3.4926,3.3275,3836781.602,4216603.9132,0.3429,0.4377,-5.1909,0.04
theta,Theta Forecaster,3.5085,3.3873,3767556.1197,4148223.633,0.3839,0.3994,-4.4275,0.015
ets,ETS,3.822,3.6187,4200674.5056,4598347.4963,0.4073,0.4774,-6.4385,0.015
polytrend,Polynomial Trend Forecaster,3.8834,3.9807,3763593.4948,4226002.2013,0.461,0.3287,-7.2025,0.01
huber_cds_dt,Huber w/ Cond. Deseasonalize & Detrending,3.8861,3.9875,3765424.7731,4234490.5606,0.4612,0.3289,-7.2205,0.685
lightgbm_cds_dt,Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,3.9476,4.0343,3820857.3116,4276527.7309,0.4694,0.3325,-7.48,0.765
br_cds_dt,Bayesian Ridge w/ Cond. Deseasonalize & Detrending,3.9735,4.0581,3851064.1001,4309970.1164,0.4712,0.3353,-7.5094,0.05
lasso_cds_dt,Lasso w/ Cond. Deseasonalize & Detrending,4.0111,4.0818,3892047.2697,4340503.78,0.4754,0.3395,-7.5635,0.045
omp_cds_dt,Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,4.0111,4.0818,3892047.2697,4340503.78,0.4754,0.3395,-7.5635,0.05
en_cds_dt,Elastic Net w/ Cond. Deseasonalize & Detrending,4.0111,4.0818,3892047.2697,4340503.78,0.4754,0.3395,-7.5635,0.05
ridge_cds_dt,Ridge w/ Cond. Deseasonalize & Detrending,4.0111,4.0818,3892047.2697,4340503.78,0.4754,0.3395,-7.5635,0.05
lr_cds_dt,Linear w/ Cond. Deseasonalize & Detrending,4.0111,4.0818,3892047.2697,4340503.78,0.4754,0.3395,-7.5635,0.675
llar_cds_dt,Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,4.0111,4.0818,3892047.2697,4340503.78,0.4754,0.3395,-7.5635,0.045
rf_cds_dt,Random Forest w/ Cond. Deseasonalize & Detrending,3.9827,4.0847,3841891.358,4319886.3474,0.476,0.3334,-7.7818,0.945
dt_cds_dt,Decision Tree w/ Cond. Deseasonalize & Detrending,4.1368,4.3306,4037478.3844,4683803.8126,0.4904,0.3525,-8.0087,1.235
et_cds_dt,Extra Trees w/ Cond. Deseasonalize & Detrending,4.1368,4.3306,4037478.3844,4683803.8126,0.4904,0.3525,-8.0087,0.21
gbr_cds_dt,Gradient Boosting w/ Cond. Deseasonalize & Detrending,4.1769,4.3269,4084265.2188,4678568.1943,0.4931,0.3558,-8.002,0.76
xgboost_cds_dt,Extreme Gradient Boosting w/ Cond. Deseasonalize & Detrending,4.2198,4.3765,4114317.9889,4724466.3476,0.4959,0.3574,-8.2662,0.07
ada_cds_dt,AdaBoost w/ Cond. Deseasonalize & Detrending,4.2766,4.309,4200587.9571,4653326.6918,0.5005,0.3661,-7.9699,0.785
exp_smooth,Exponential Smoothing,5.8779,5.7328,6025234.704,6579977.2946,0.6537,0.57,-12.8064,0.01
