,Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
exp_smooth,Exponential Smoothing,33.153,34.9204,743490.1073,845369.1849,0.2346,0.28,-1.6858,0.015
et_cds_dt,Extra Trees w/ Cond. Deseasonalize & Detrending,34.6636,36.5575,772517.5901,891734.2847,0.2444,0.2922,-2.0093,0.195
ada_cds_dt,AdaBoost w/ Cond. Deseasonalize & Detrending,34.8066,36.6118,784229.7954,893525.9541,0.2473,0.2963,-2.0229,0.665
polytrend,Polynomial Trend Forecaster,34.7781,36.6004,786088.8535,897261.1082,0.2476,0.2961,-2.0612,0.01
theta,Theta Forecaster,36.7494,38.9799,774319.2213,909961.2561,0.2476,0.3113,-2.0215,0.015
lightgbm_cds_dt,Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,34.8174,36.6281,786298.002,896697.4528,0.2478,0.2965,-2.0533,0.06
br_cds_dt,Bayesian Ridge w/ Cond. Deseasonalize & Detrending,34.8209,36.6256,786750.7669,896309.22,0.2479,0.2968,-2.0496,0.05
huber_cds_dt,Huber w/ Cond. Deseasonalize & Detrending,34.8538,36.6439,786280.9096,894586.9373,0.2479,0.2972,-2.031,0.05
ridge_cds_dt,Ridge w/ Cond. Deseasonalize & Detrending,34.8193,36.6214,786822.7119,896121.2279,0.2479,0.2968,-2.0481,0.05
en_cds_dt,Elastic Net w/ Cond. Deseasonalize & Detrending,34.8193,36.6214,786822.7119,896121.2279,0.2479,0.2968,-2.0481,0.05
lasso_cds_dt,Lasso w/ Cond. Deseasonalize & Detrending,34.8193,36.6214,786822.7119,896121.2279,0.2479,0.2968,-2.0481,0.05
omp_cds_dt,Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,34.8193,36.6214,786822.7119,896121.2279,0.2479,0.2968,-2.0481,0.12
llar_cds_dt,Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,34.8193,36.6214,786822.7119,896121.2279,0.2479,0.2968,-2.0481,0.05
lr_cds_dt,Linear w/ Cond. Deseasonalize & Detrending,34.8193,36.6214,786822.7119,896121.2279,0.2479,0.2968,-2.0481,0.045
dt_cds_dt,Decision Tree w/ Cond. Deseasonalize & Detrending,34.8613,36.6603,791109.1121,901559.2786,0.249,0.2981,-2.0999,1.025
xgboost_cds_dt,Extreme Gradient Boosting w/ Cond. Deseasonalize & Detrending,34.7899,36.6406,797138.8095,914342.2911,0.2497,0.2977,-2.235,0.705
rf_cds_dt,Random Forest w/ Cond. Deseasonalize & Detrending,34.8674,36.7321,794347.0135,916019.1803,0.2497,0.2968,-2.2447,0.825
gbr_cds_dt,Gradient Boosting w/ Cond. Deseasonalize & Detrending,35.1286,36.9015,824695.6922,941525.2314,0.2566,0.3043,-2.5116,0.665
ets,ETS,38.215,40.0981,809903.0809,916595.193,0.2613,0.3269,-2.0237,0.015
auto_arima,Auto ARIMA,40.7138,42.6704,852282.5326,963905.1434,0.2767,0.3526,-2.322,0.58
naive,Naive Forecaster,41.9274,43.5764,1099314.7,1217506.6947,0.3261,0.4139,-5.5443,0.015
croston,Croston,46.3135,46.8884,1512120.4127,1614631.6295,0.4232,0.5522,-14.064,0.005
grand_means,Grand Means Forecaster,47.3813,47.6585,1690169.2208,1790427.2345,0.462,0.6164,-19.571,0.005
arima,ARIMA,124.9803,120.0483,2527153.973,2642544.549,0.8846,1.1536,-23.6927,0.02
